page,bill_month,bill_date,due_date,service_no,van_id,category,cons_kwh,cons_kvah,cons_kva,cons_pf,demand_normal,energy_charges,elec_duty,fppca,tod_charges,sub_total,customer_charges,total,net_bill,net_payable,chain_ok,doc_type
190,,,,VSP-1154,,,,,,,,2512077.5,21090.0,436112.6,62000.0,,2813.0,,4097641.85,4097642.0,,sparse_bill
191,01/2026,04-02-2026,18-Feb-2026,VSP007,APEPDC0100000626,IIA(i),572700.0,587800.0,1769.6,0.97,950000.0,3448620.0,26142.0,653166.16,120500.0,5198428.16,1406.0,5199834.16,5199834.0,5199834.0,True,HT_BILL
192,01/2026,04-02-2026,18-Feb-2026,VSP098,APEPDC0100000558,IB,22511.0,30302.0,63.97,0.74,4797.75,163114.0,930.66,67125.15,0.0,235967.56,1406.0,237373.56,237374.0,237374.0,True,HT_BILL
193,01/2026,05-02-2026,19-Feb-2026,VSP212,APEPDC0100000391,,20246.0,23046.0,169.71,0.88,228000.0,132834.6,974.76,13021.83,4356.0,379187.19,1406.0,388093.19,388093.0,388093.0,True,HT_BILL
194,01/2026,04-02-2026,18-Feb-2026,VSP361,APEPDC0100000508,IB,67664.0,70395.0,277.01,0.96,20775.75,415765.0,3399.84,91944.59,0.0,531885.18,1406.0,533291.18,533291.0,533291.0,True,HT_BILL
195,01/2026,04-02-2026,18-Feb-2026,VSP127,APEPDC0100000334,IIA(i),37019.0,38853.0,131.6,0.95,76000.0,243675.45,1801.14,39326.47,6335.0,367138.06,1406.0,368544.06,368544.0,368544.0,True,HT_BILL
196,01/2026,02-02-2026,16-Feb-2026,VSP1375,APEPDC0100003730,IIB,14840.0,18290.0,120.0,0.81,0.0,224052.5,890.4,12580.0,0.0,237522.9,2813.0,490335.9,490336.0,490336.0,True,HT_BILL
197,01/2026,04-02-2026,18-Feb-2026,VSP009,APEPDC0100000627,,19228.0,19542.0,108.08,0.98,144400.0,103596.3,793.68,20313.82,4901.0,274004.8,1406.0,275410.8,275411.0,275411.0,True,HT_BILL
198,01/2026,04-02-2026,18-Feb-2026,VSP309,APEPDC0100001933,,21116.0,24252.0,72.86,0.87,133000.0,139627.8,906.96,22210.01,5272.0,301016.77,1406.0,302422.77,,302423.0,True,HT_BILL
199,01/2026,01-02-2026,15-Feb-2026,VSP508,APEPDC0100000227,IIIA,10542.0,12536.0,67.681,0.84,32148.47,78976.8,632.52,11163.8,2437.0,119453.09,1406.0,121409.55,121410.0,121410.0,True,HT_BILL
200,01/2026,04-02-2026,18-Feb-2026,VSP1655,APEPDC0100004450,,55031.0,60827.0,144.55,0.9,68661.25,411776.55,2881.86,41818.81,16206.0,541344.47,1406.0,542750.47,542750.0,542750.0,True,HT_BILL
201,01/2026,04-02-2026,18-Feb-2026,VSP1718,APEPDC0100004656,IIA(i),34789.0,52241.0,104.36,0.67,0.0,0.0,,44525.06,11065.0,448511.05,1406.0,449917.05,449917.0,449917.0,False,HT_BILL
202,01/2026,04-02-2026,18-Feb-2026,VSP1720,APEPDC0100004657,IIA(i),87492.0,88436.0,284.47,0.99,152000.0,622985.4,4829.52,58747.12,19922.0,858484.04,1406.0,859890.04,859890.0,859890.0,True,HT_BILL
203,01/2026,04-02-2026,18-Feb-2026,VSP1154,APEPDC0100003106,,351500.0,361450.0,2239.05,0.97,1063548.75,2060327.5,17190.0,410112.6,62000.0,3613178.85,2813.0,3615991.85,3615992.0,3615992.0,True,HT_BILL
204,,,,,,,,,,,,,,,,,,,,,,OTHER
205,02/2026,04-03-2026,18-Mar-2026,VSP007,APEPDC0100000626,IIA(I),665100.0,708300.0,2019.5,0.94,959262.5,5418495.0,39906.0,351559.44,133400.0,6902622.94,1406.0,6904028.94,6904029.0,6904029.0,True,HT_BILL
